geocod,geodsg,valor,sinal_conv,sinal_conv_desc,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
16J0910,Pinhel,,-,Dado nulo ou não aplicável,Pinhel,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680910
16J0911,Sabugal,,-,Dado nulo ou não aplicável,Sabugal,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680911
16J0912,Seia,2.59,,,Seia,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1670912
16J0913,Trancoso,,-,Dado nulo ou não aplicável,Trancoso,Centro,Beiras e Serra da Estrela,ULS Guarda,Continente,Centro,1680913
1701502,Alcochete,5.88,,,Alcochete,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Arco Ribeirinho,Continente,Área Metropolitana de Lisboa,1721502
1701503,Almada,7.77,,,Almada,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Almada/Seixal,Continente,Área Metropolitana de Lisboa,1721503
1701115,Amadora,8.33,,,Amadora,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Amadora,Continente,Área Metropolitana de Lisboa,1711115
1701504,Barreiro,6.24,,,Barreiro,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Arco Ribeirinho,Continente,Área Metropolitana de Lisboa,1721504
1701105,Cascais,10.71,,,Cascais,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Cascais,Continente,Área Metropolitana de Lisboa,1711105
1701106,Lisboa,11.96,,,Lisboa,Lisboa e Vale do Tejo,Área Metropolitana de Lisboa,ACeS Lisboa Norte + Lisboa Central,Continente,Área Metropolitana de Lisboa,1711106
