geocod,geodsg,dim_3_t,municip,<1 ano,ars,nuts3,aces2,0 - 4 anos,5 - 9 anos,10 - 14 anos,15 - 19 anos,20 - 24 anos,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 - 80 anos,81 - 84 anos,85 e mais anos,Total
0305,Celorico de Basto,H,Celorico de Basto,49,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,232,340,437,472,546,437,428,499,553,680,659,679,671,549,388,301,271,230,8421
0305,Celorico de Basto,M,Celorico de Basto,54,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,267,307,417,443,509,439,452,531,579,660,635,768,683,630,516,433,423,476,9222
1804,Cinfães,H,Cinfães,58,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,286,341,394,513,471,439,422,457,559,653,702,695,651,611,491,331,299,240,8613
1804,Cinfães,M,Cinfães,56,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,223,298,359,478,449,398,401,473,591,728,719,733,683,602,537,518,390,481,9117
1303,Felgueiras,H,Felgueiras,202,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,956,1145,1301,1632,1906,1749,1690,1719,1929,2133,2151,2157,1892,1515,1109,750,612,416,26964
1303,Felgueiras,M,Felgueiras,192,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,885,1114,1282,1489,1787,1785,1656,1881,2044,2223,2443,2407,2047,1671,1318,1058,842,760,28884
1305,Lousada,H,Lousada,195,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,870,1009,1326,1458,1643,1511,1427,1524,1766,1926,1765,1743,1507,1116,866,568,388,282,22890
1305,Lousada,M,Lousada,170,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,826,967,1238,1387,1593,1535,1485,1693,1875,2110,1992,1887,1651,1310,983,712,569,491,24474
1307,Marco de Canaveses,M,Marco de Canaveses,187,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,691,969,1286,1432,1650,1469,1302,1599,1829,2265,2160,1987,1829,1506,1159,912,748,790,25770
1307,Marco de Canaveses,H,Marco de Canaveses,179,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,752,1019,1352,1536,1658,1448,1307,1396,1686,1999,1936,1969,1635,1312,1019,687,520,361,23771
1309,Paços de Ferreira,H,Paços de Ferreira,194,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,943,1208,1536,1668,1935,1866,1746,1895,2157,2252,2188,2066,1692,1394,1084,729,522,309,27384
1309,Paços de Ferreira,M,Paços de Ferreira,210,Norte,Tâmega e Sousa,ACeS Vale do Sousa Norte,856,1085,1439,1614,1870,1655,1724,1835,2066,2276,2392,2261,1919,1552,1168,958,709,622,28211
1311,Penafiel,H,Penafiel,280,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,1160,1510,1818,2105,2285,2090,1873,2144,2443,2771,2624,2655,2272,1861,1406,982,683,516,33478
1311,Penafiel,M,Penafiel,235,Norte,Tâmega e Sousa,ACeS Vale do Sousa Sul,1115,1470,1769,1939,2218,2071,2046,2290,2739,2926,2894,2911,2582,2139,1589,1200,1010,1008,36151
1813,Resende,H,Resende,33,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,124,207,234,249,290,265,250,250,311,349,422,436,377,326,274,197,184,120,4898
1813,Resende,M,Resende,33,Norte,Tâmega e Sousa,ACeS Baixo Tâmega,122,158,199,252,261,227,242,288,309,396,428,396,386,347,324,273,244,268,5153
1701,Alijó,H,Alijó,17,Norte,Douro,ACeS Marão e Douro Norte,129,145,184,239,242,203,226,269,325,334,383,450,432,413,388,318,234,185,5116
1701,Alijó,M,Alijó,23,Norte,Douro,ACeS Marão e Douro Norte,111,152,196,212,222,182,251,248,298,294,374,417,474,424,431,397,310,354,5370
1801,Armamar,H,Armamar,19,Norte,Douro,ACeS Douro Sul,68,68,121,124,153,122,109,135,140,184,215,242,246,194,172,142,112,104,2670
1801,Armamar,M,Armamar,19,Norte,Douro,ACeS Douro Sul,66,102,84,128,133,142,112,132,151,196,220,268,232,210,220,191,184,218,3008
0403,Carrazeda de Ansiães,H,Carrazeda de Ansiães,10,Norte,Douro,ULS Nordeste,59,68,95,111,101,104,112,120,172,153,197,221,223,204,237,191,146,109,2633
0403,Carrazeda de Ansiães,M,Carrazeda de Ansiães,10,Norte,Douro,ULS Nordeste,69,71,108,96,110,85,105,115,174,162,172,185,236,274,252,231,181,221,2857
0404,Freixo de Espada à Cinta,H,Freixo de Espada à Cinta,8,Norte,Douro,ULS Nordeste,41,43,66,68,60,60,57,90,99,103,95,104,125,111,110,113,88,91,1532
0404,Freixo de Espada à Cinta,M,Freixo de Espada à Cinta,7,Norte,Douro,ULS Nordeste,43,65,49,55,64,52,64,84,93,99,90,94,138,126,146,141,119,155,1684
1805,Lamego,H,Lamego,53,Norte,Douro,ACeS Douro Sul,321,411,507,617,662,544,521,617,773,874,947,990,972,884,625,471,370,334,11493
1805,Lamego,M,Lamego,56,Norte,Douro,ACeS Douro Sul,278,426,492,592,660,461,520,666,850,929,1026,1110,1091,914,763,724,587,674,12819
1704,Mesão Frio,H,Mesão Frio,12,Norte,Douro,ACeS Marão e Douro Norte,33,52,70,86,97,88,51,95,93,122,131,152,154,126,116,78,60,39,1655
1704,Mesão Frio,M,Mesão Frio,12,Norte,Douro,ACeS Marão e Douro Norte,36,49,62,88,83,79,80,87,132,126,127,167,160,162,134,97,109,102,1892
1807,Moimenta da Beira,H,Moimenta da Beira,41,Norte,Douro,ACeS Douro Sul,141,162,212,223,250,228,181,223,290,289,300,328,411,321,295,246,187,161,4489
1807,Moimenta da Beira,M,Moimenta da Beira,24,Norte,Douro,ACeS Douro Sul,129,169,189,215,249,219,206,245,266,320,299,423,410,371,315,324,262,286,4921
1707,Murça,H,Murça,17,Norte,Douro,ACeS Marão e Douro Norte,56,73,86,120,125,103,86,118,151,134,180,208,253,222,206,170,121,102,2531
1707,Murça,M,Murça,15,Norte,Douro,ACeS Marão e Douro Norte,33,81,86,108,80,108,96,125,137,160,182,214,238,253,233,221,151,193,2714
